institution,lat,lng,instID
CHU de Bicê tre,48.8105963,2.3522501,0
Ecole Nationale Vétérinaire de Toulouse,43.598014299999996,1.3803063,1
"Zhuhai United Laboratories Co., Ltd",22.038476100000004,113.3354801,2
Hedong District,39.128291,117.251586,3
National United University,24.545804399999998,120.81232,4
Shahid Beheshti University G.C,35.799062799999994,51.3946864,5
Liaoning Medical University,41.149190000000004,121.14161200000001,6
Research Center in Infectious Diseases of the CHUQ-CHUL and Laval University,46.78174629999999,-71.27474240000001,7
Ö stergö tland County Council,52.66806700000001,-0.7248490000000001,8
University of Franche-Comté and University Hospital,47.2243826,5.957022500000001,9
Instituto de Biomedicina Sevilla (IBiS),37.3646471,-5.9788856,10
Alemana Clinic,-33.3924402,-70.57301650000001,11
National Chi-Nan University,23.9511431,120.9306649,12
Hayashibara Co. Ltd,34.6634217,133.91858159999998,13
Ningbo First Hospital,29.867834000000002,121.54646699999999,14
Kuandian Country Hospital,40.731316,124.78365900000001,15
BioMérieux,38.7713646,-90.3914558,16
University of illinois at Urbana-Champaign (UiUC),40.1019523,-88.2271615,17
Bobst Hospital,40.7645971,-73.95687170000001,18
Universidade de Lisboa,38.7526578,-9.158245,19
Universitiit Wi~rzburg,49.7881814,9.935260000000001,20
Anhui Agricultural University,31.860048,117.257372,21
"Suzhou Xishan Zhongke Laboratory Animal Co., Ltd",31.202427,120.559698,22
Curtin University,-32.0061951,115.8944182,23
NICHD,39.029216399999996,-77.13551009999998,24
Universidade Federal Rural do Rio de Janeiro,-22.7690305,-43.6869836,25
Universidad de Murcia,37.9877458,-1.127089,26
North Shore -LIJ Research Institute,42.0512822,-87.68515529999998,27
Biberach an der Riss,48.0951473,9.7901525,28
Servicio de Microbiología. Hospital Universitario Germans Trias i Pujol. Badalona. Barcelona,41.48111710000001,2.2378668999999998,29
Institut national de la transfusion sanguine,48.8490608,2.3019769,30
Tandon School of Engineering,40.6942036,-73.98657899999998,31
Health Sciences Center,35.474218799999996,-97.5048466,32
Public Health Laboratories,38.99503,-77.026763,33
Universidad Autó noma Chapingo,19.491126,-98.88408050000001,34
Università degli Studi di Bari Aldo Moro,41.1086624,16.883341100000003,35
University of Arkansas-Fayetteville,36.068689500000005,-94.1748471,36
University of Veterinary Medicine Hannover,52.3549693,9.8015244,37
M.V. Lomonosov Moscow State University,55.70393490000001,37.5286696,38
Kleintierklinik Breitensee Wien,48.200119,16.3116321,39
Istituto Superiore di Sanita ',41.9042519,12.518059599999999,40
Central South University,28.16437,112.93251000000001,41
Kamaraj College,8.792060000000001,78.14418620000001,42
Sen University,30.217325399999996,-93.1627524,43
University Hospital of Essen,51.43644929999999,6.9890086999999985,44
Istituto Zooprofilattico Sperimentale della Lombarda e dell'Emilia Romagna,44.5142526,11.421633,45
bioMérieux Inc,36.09842570000001,-78.82642750000001,46
Northwest University for Nationalities,36.045989,103.818081,47
Boston University School of Public Health,42.3356179,-71.0715973,48
University of Lorraine,49.504253999999996,5.948386,49
Instituto Oswaldo Cruz/Fiocruz,-22.875704000000002,-43.242977,50
"Abt Associates, Inc",39.048171,-77.12743499999998,51
Immunology University of South Florida College,28.058703100000002,-82.41385389999998,52
Universidad del Zulia,10.672451800000001,-71.63269759999999,53
Provincial Hospital Affiliated to Shandong University,36.667116,117.04808799999999,54
The Royal Melbourne Hospital,-37.7989153,144.95617,55
University of Yamanashi,35.6778833,138.5735023,56
Elsevier Inc,39.953625,-75.16688990000002,57
Kenema Government Hospital,7.888266399999999,-11.1881332,58
University of Chicago Medicine,41.7887967,-87.6042591,59
University of Rochester Medical Center,43.123050299999996,-77.62694029999999,60
Microbiologie Centre National de la Recherche Scientifique-Unité,48.8476037,2.2639934,61
Macerata Hospital,43.2935765,13.458037300000003,62
Georgia Environmental Protection Division,33.750147,-84.3861788,63
UAB,33.5019893,-86.8064433,64
International Modern Hospital,25.2488545,55.283407700000005,65
Children's Hospital of Pittsburgh,40.467203000000005,-79.9531598,66
Korea University Medical Center,37.5870127,127.02688359999999,67
The Ohio State Universi~,40.006836299999996,-83.03062220000001,68
Federal Republic of Germany,51.165690999999995,10.451526,69
Irrua Specialist Teaching Hospital,6.7318291,6.189620099999999,70
University of Pennsylvania Medical Center,39.9501477,-75.19388289999998,71
Oxford University Clinical Research Unit-Viet Nam,10.7529024,106.6785155,72
Beijing University of Posts and Telecommunications,39.962796000000004,116.358103,73
The Ohio Stute University,40.006836299999996,-83.03062220000001,74
Hudson Institute of Medical Research and Monash University,-37.921864,145.125404,75
Todd Campus,55.90512389999999,-4.309050900000001,76
University of Texas Health Science Center at Houston,29.7031663,-95.40323120000001,77
University of Maryland at Baltimore,39.28920170000001,-76.6257057,78
National Cheng-chi University,24.986169399999998,121.5771149,79
Universite' Louis-Pasteur,46.35402929999999,-72.5641322,80
Universidade Federal de Ouro Preto (UFOP),-20.3969645,-43.509530299999994,81
University of Silesia,50.260750099999996,19.0287157,82
World Health Organization Regional Office for Africa,11.999806800000002,8.5459578,83
Instituto Nacional de Enfermedades Respiratorias Ismael Cos ıo Villegas,19.292180300000002,-99.1590142,84
José Joaquín Aguirre Hospital,-33.420156,-70.6531104,85
Beijing Rehabilitation Hospital of Capital Medical University,39.945192999999996,116.195972,86
Manchester University,41.0111723,-85.7603577,87
Rouen University and Hospital,49.4386196,1.1108685,88
hôpital Félix-Guyon,-20.8910178,55.4440462,89
Hospital Authority,33.75419790000001,-84.38299190000001,90
General Hospital of Guangzhou Command of the People's Liberation Army,23.143496,113.254995,91
